"(PDH-CSV 4.0) (Korea Standard Time)(-540)","\\DESKTOP-PBJRE7A\Process(myIOCP)\% Processor Time","\\DESKTOP-PBJRE7A\Process(myIOCP)\Handle Count","\\DESKTOP-PBJRE7A\Process(myIOCP)\Private Bytes","\\DESKTOP-PBJRE7A\Process(myIOCP)\Thread Count"
"06/02/2026 13:07:01.636"," ","1909","291635200","51"
"06/02/2026 13:07:06.639","90.669046897053348744","1841","291635200","51"
"06/02/2026 13:07:11.638","109.07017854056925898","1203","291704832","51"
"06/02/2026 13:07:16.638","126.25207305903963118","1860","307159040","51"
"06/02/2026 13:07:21.637","120.97473118326895758","1841","307306496","51"
"06/02/2026 13:07:26.634","121.61932784712985267","1855","307306496","51"
"06/02/2026 13:07:31.647","129.66277305982600865","1507","307306496","51"
"06/02/2026 13:07:36.647","131.5561011112419294","1829","307306496","51"
"06/02/2026 13:07:41.647","121.27237475314196047","1835","307306496","51"
"06/02/2026 13:07:46.645","104.71579630247684634","1300","307306496","51"
"06/02/2026 13:07:51.645","115.93369505612824355","1758","307306496","51"
"06/02/2026 13:07:56.644","124.7104342488583768","1867","307306496","51"
"06/02/2026 13:08:01.643","110.9754025389831753","1787","307273728","50"
"06/02/2026 13:08:06.644","119.66851817964634108","1833","307273728","50"
"06/02/2026 13:08:11.642","125.34168706525001369","1807","307273728","50"
"06/02/2026 13:08:16.641","138.15253932718945862","1479","307273728","50"
"06/02/2026 13:08:21.641","125.33139245409851981","1864","307273728","50"
"06/02/2026 13:08:26.639","120.04885748401885337","1057","307273728","50"
"06/02/2026 13:08:31.636","128.18569336209307608","1429","307273728","50"
"06/02/2026 13:08:36.634","123.50273908689526081","1802","307499008","50"
"06/02/2026 13:08:41.646","126.86706677476431082","1325","307576832","50"
"06/02/2026 13:08:46.646","120.32702828539518691","1738","307576832","50"
"06/02/2026 13:08:51.644","120.02633377763081057","1857","307576832","50"
"06/02/2026 13:08:56.644","130.96305089122887466","1447","307576832","50"
"06/02/2026 13:09:01.644","129.35328675728493408","1607","307576832","50"
"06/02/2026 13:09:06.644","139.70938966717307039","1697","307576832","50"
"06/02/2026 13:09:11.643","125.00895314122398361","1682","307507200","48"
"06/02/2026 13:09:16.642","144.10876467781216093","1078","307507200","48"
"06/02/2026 13:09:21.641","138.15306717712769569","1557","307507200","48"
"06/02/2026 13:09:26.640","128.15298092185446421","1648","307585024","48"
"06/02/2026 13:09:31.638","131.29645005810155567","1605","307585024","48"
"06/02/2026 13:09:36.638","127.19282683558787994","1857","307585024","48"
"06/02/2026 13:09:41.636","105.04157125223878211","1709","307585024","48"
"06/02/2026 13:09:46.634","127.52734441318906988","1204","307585024","48"
"06/02/2026 13:09:51.632","131.3037373675550441","1648","307585024","48"
"06/02/2026 13:09:56.646","143.97672295037131107","1717","312123392","48"
"06/02/2026 13:10:01.645","129.4191837093183608","1355","312123392","48"
"06/02/2026 13:10:06.643","130.03209452156980319","1103","312123392","48"
"06/02/2026 13:10:11.642","137.85693404698201903","1846","312123392","48"
"06/02/2026 13:10:16.641","136.59301214705342886","1587","326008832","48"
"06/02/2026 13:10:21.637","118.20126582073284283","1767","326008832","48"
"06/02/2026 13:10:26.636","132.84515068113441316","1806","326008832","48"
"06/02/2026 13:10:31.634","133.17076812959078325","1310","326008832","48"
"06/02/2026 13:10:36.634","127.52123483602488818","1722","326008832","48"
"06/02/2026 13:10:41.633","134.07255812331041511","1668","326008832","48"
"06/02/2026 13:10:46.633","137.51491486766653338","1258","326008832","48"
"06/02/2026 13:10:51.646","119.69033238444166045","1656","326008832","48"
"06/02/2026 13:10:56.642","127.26738828497423128","1622","326008832","48"
"06/02/2026 13:11:01.640","126.92961527486046691","1745","326008832","48"
"06/02/2026 13:11:06.641","122.1805259355795954","1567","326008832","48"
"06/02/2026 13:11:11.640","125.00258255335555191","1057","326008832","48"
"06/02/2026 13:11:16.638","126.61831335252580288","1619","326008832","48"
"06/02/2026 13:11:21.637","135.35845148711084107","1255","326008832","48"
"06/02/2026 13:11:26.637","134.67953235886565722","1774","326008832","48"
"06/02/2026 13:11:31.636","125.01611457716899167","1830","420737024","48"
"06/02/2026 13:11:36.635","133.15151845641577211","1618","420737024","48"
"06/02/2026 13:11:41.634","132.83611826182695381","1704","420925440","48"
"06/02/2026 13:11:46.634","125.01995568532649372","1602","420925440","48"
"06/02/2026 13:11:51.632","129.71812385467961803","1805","420925440","48"
"06/02/2026 13:11:56.645","130.28385173423390597","1695","420925440","48"
"06/02/2026 13:12:01.644","132.55155194958422271","1405","420925440","48"
"06/02/2026 13:12:06.642","136.27998704835010813","1292","420925440","48"
"06/02/2026 13:12:11.640","122.86209697130536256","1654","420925440","48"
"06/02/2026 13:12:16.640","139.3790419922177648","1716","420925440","48"
"06/02/2026 13:12:21.639","138.14974814588285312","1819","420925440","48"
"06/02/2026 13:12:26.637","136.61563528518783528","1505","420925440","48"
"06/02/2026 13:12:31.636","129.09286780622272772","1554","420925440","48"
"06/02/2026 13:12:36.635","127.54178779135196464","1716","420925440","48"
"06/02/2026 13:12:41.634","125.02558523576263383","1590","420925440","48"
"06/02/2026 13:12:46.632","136.59670108201692074","1196","420925440","48"
"06/02/2026 13:12:51.647","144.56999966718987594","1537","420925440","48"
"06/02/2026 13:12:56.647","137.50124576128658305","1722","420925440","48"
"06/02/2026 13:13:01.645","135.36374600696333914","1591","420925440","48"
"06/02/2026 13:13:06.645","148.45516913423034566","1647","421003264","48"
"06/02/2026 13:13:11.644","135.9657618432567574","1799","421003264","48"
"06/02/2026 13:13:16.643","121.88413643486714477","1733","421003264","48"
"06/02/2026 13:13:21.643","132.81294625149939748","1206","421003264","48"
"06/02/2026 13:13:26.642","131.58715153696894617","1565","421003264","48"
"06/02/2026 13:13:31.641","131.58208994155049254","1295","421003264","48"
"06/02/2026 13:13:36.648","135.13732149015231698","1141","421003264","48"
